"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","dataColumnNameTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnNameTest"
"","0","rowTableMatcherSingleTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest"
"","0","previewTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","previewTest"
"","0","rowsAllTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowsAllTest"
"","1","hugeTableValidateTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest"
"","0","rowDataExactMatcherTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest"
"","1","longTextTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","longTextTest"
"","6","lineByIndexTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest"
"","1","hugeTableSearchTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest"
"","2","rowDataMatcherTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowDataMatcherTest"
"","1","lineFilterTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineFilterTest"
"","2","setUp","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","broken","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","setUp"
"","1","commonMatchersTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","commonMatchersTest"
