"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","allDataFilterTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","allDataFilterTest"
"","1","menuTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.MenuTests","Gradle test","org.mytests.tests.example.MenuTests","menuTest"
"","1","linesFilterTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","linesFilterTest"
"","1","rowMatcherTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowMatcherTest"
"","1","loginTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","loginTest"
"","1","dataFilterTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataFilterTest"
"","1","fillContactsTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactsTest"
"","1","customMenuTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.MenuTests","Gradle test","org.mytests.tests.example.MenuTests","customMenuTest"
"","1","tableParamsTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableParamsTest"
"","0","fillContactFormTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactFormTest"
"","1","bigDropdownTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest"
"","0","lineByNameTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:19 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByNameTest"
"","1","valueTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","valueTest"
"","1","tableChainTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableChainTest"
"","1","atLeastTest","Gradle suite","Sun Aug 31 02:51:19 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","atLeastTest"
"","1","exactMatcherTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","exactMatcherTest"
"","1","rowTableMatcherTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowTableMatcherTest"
"","1","noRowsTest","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","noRowsTest"
"","0","dataColumnTestIndex","Gradle suite","Sun Aug 31 02:51:20 UTC 2025","skipped","Sun Aug 31 02:51:20 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnTestIndex"
