"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","fillContactFormTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactFormTest"
"","1","rowTableMatcherTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowTableMatcherTest"
"","2","setUp","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","broken","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","setUp"
"","7","lineByIndexTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest"
"","0","commonMatchersTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","commonMatchersTest"
"","1","noRowsTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","noRowsTest"
"","0","rowsAllTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowsAllTest"
"","0","fillContactsTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactsTest"
"","0","dataColumnTestIndex","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnTestIndex"
"","1","previewTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","previewTest"
"","1","rowMatcherTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowMatcherTest"
"","1","loginTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","loginTest"
"","1","lineFilterTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineFilterTest"
"","1","customMenuTest","Gradle suite","Sun Aug 31 02:49:00 UTC 2025","skipped","Sun Aug 31 02:49:00 UTC 2025","org.mytests.tests.example.MenuTests","Gradle test","org.mytests.tests.example.MenuTests","customMenuTest"
