"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","tableChainTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableChainTest"
"","0","dataColumnTestIndex","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnTestIndex"
"","2","lineByIndexTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest"
"","2","setUp","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","broken","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","setUp"
"","1","fillContactFormTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.FormTests","Gradle test","org.mytests.tests.example.FormTests","fillContactFormTest"
"","1","dataColumnNameTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","dataColumnNameTest"
"","0","rowDataMatcherTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","rowDataMatcherTest"
"","0","tableParamsTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableTests","Gradle test","org.mytests.tests.example.DataTableTests","tableParamsTest"
"","0","lineByNameTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.DataTableInteractTests","Gradle test","org.mytests.tests.example.DataTableInteractTests","lineByNameTest"
"","1","hugeTableValidateTest","Gradle suite","Mon Aug 04 02:25:27 GMT 2025","skipped","Mon Aug 04 02:25:27 GMT 2025","org.mytests.tests.example.JDIPerformanceTests","Gradle test","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest"
