"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","1","Gradle suite","Gradle test","org.mytests.tests.example.FormTests","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","3","Gradle suite","Gradle test","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","4","Gradle suite","Gradle test","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest","rowDataExactMatcherTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","2","Gradle suite","Gradle test","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowDataMatcherTest","rowDataMatcherTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","4","Gradle suite","Gradle test","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherTest","rowTableMatcherTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","1","Gradle suite","Gradle test","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest","rowTableMatcherSingleTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","1","Gradle suite","Gradle test","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","linesFilterTest","linesFilterTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","2","Gradle suite","Gradle test","org.mytests.tests.example.JDIPerformanceTests","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","8","Gradle suite","Gradle test","org.mytests.tests.example.DataTableTests","org.mytests.tests.example.DataTableTests","commonMatchersTest","commonMatchersTest",""
"skipped","Thu Aug 24 15:25:45 GMT 2023","Thu Aug 24 15:25:45 GMT 2023","6","Gradle suite","Gradle test","org.mytests.tests.example.DataTableInteractTests","org.mytests.tests.example.DataTableInteractTests","lineFilterTest","lineFilterTest",""
